,Name,Address,Age,Type,Area1,Area2,Rooms,FloorNum,Tags,Price
2972,重慶北透天店面,台北市大同區重慶北路一段,8.5年,店面/辦公,建坪 63.53,主+陽 37.54,2廳2衛,1-2樓/2樓,"['有裝潢', '有陽台', '廁所開窗']","5,500"
2973,八德潛力京華松菸,台北市松山區八德路四段,47.3年,公寓/辦公,建坪 59.85,主+陽 59.84,5房3廳2衛2室,2-3樓/4樓,"['有陽台', '廁所開窗', '近公園']","4,200"
2974,景興捷運優質住辦,台北市文山區景興路,45.6年,公寓,建坪 57.81,主+陽 --,1廳0衛5室,1樓/4樓,"['三角窗', '有裝潢', '近公園']","5,200"
2975,遠揚御園三房車位遠揚御園,台北市內湖區民權東路六段,18.0年,華廈,建坪 69.21,主+陽 39.48,3房2廳2.5衛,2樓/7樓,"['前後陽台', '有陽台', '廁所開窗']","4,980"
2976,昇陽生活低調奢華昇陽生活,台北市內湖區金龍路,24.1年,大樓,建坪 64,主+陽 38.5,2房2廳1衛,9樓/15樓,"['有裝潢', '前後陽台', '有陽台']","3,450"
2977,明德稀有邊間一樓,台北市北投區建民路,40.0年,公寓,建坪 29.9,主+陽 --,3房1廳1衛,1樓/5樓,"['有裝潢', '有陽台', '廁所開窗']","2,480"
2978,汀州南海黃金店面,台北市中正區汀州路一段,49.7年,店面,建坪 19.91,主+陽 --,1房1廳0衛,1樓/4樓,"['有裝潢', '近公園', '近捷運']","2,680"
2979,高樓景觀２房車位夆典百富,台北市內湖區康寧路三段,7.6年,大樓,建坪 38.94,主+陽 16.98,2房2廳1衛,12樓/14樓,"['有裝潢', '有景觀', '有陽台']","2,470"
2980,面公園國泰華廈,台北市大安區忠孝東路三段,47.4年,華廈,建坪 50.8,主+陽 40.93,3房2廳2衛1室,6樓/7樓,"['有裝潢', '有景觀', '前後陽台']","4,900"
2981,臻園綠景大庭園臻園,台北市文山區政大一街,15.0年,別墅/透天,建坪 95.24,主+陽 64.27,4房2廳4衛,B1-4樓/4樓,"['有裝潢', '有景觀', '前後陽台']","5,200"
2982,天生贏家邊間美屋天生贏家,台北市大同區華亭街,10.1年,大樓,建坪 20.25,主+陽 10.1,1房1廳1衛,5樓/11樓,"['有裝潢', '有陽台', '廁所開窗']","1,500"
2983,政大附中庭院一樓國賓伊頓,台北市文山區政大一街,6.1年,華廈,建坪 45.47,主+陽 --,2房2廳2衛1室,1樓/5樓,"['有裝潢', '有景觀', '前後陽台']","3,200"
2984,【新接】大華柏園,台北市北投區稻香路,26.1年,華廈,建坪 119.66,主+陽 --,3房3廳3衛3室,B2-1樓/8樓,"['有裝潢', '有景觀', '有陽台']","5,980"
2985,邊間-EAT美景,台北市信義區忠孝東路五段,15.2年,辦公,建坪 15.19,主+陽 9.72,2廳1衛,11樓/11樓,"['有裝潢', '有景觀', '有陽台']","2,168"
2986,信義香榭2房車位信義香榭,台北市信義區信義路五段,14.0年,大樓,建坪 35.92,主+陽 15.97,2房1廳1衛,8樓/19樓,"['有裝潢', '有景觀', '廁所開窗']","3,200"
2987,大安薈館高樓美景大安薈館,台北市大安區大安路二段,11.1年,大樓,建坪 16.92,主+陽 8.15,1廳1衛,11樓/12樓,"['有裝潢', '有景觀', '有陽台']","1,960"
2988,【河畔延壽店辦】河畔皇家,台北市松山區延壽街,21.7年,店面/大樓,建坪 16.66,主+陽 11.17,1廳1衛,1樓/13樓,"['有裝潢', '警衛管理', '近公園']","1,288"
2989,政大邊間舒適美宅水事紀,台北市文山區指南路三段,10.4年,華廈,建坪 19.89,主+陽 10.09,1房1廳1衛,3樓/10樓,"['有陽台', '廁所開窗', '房間皆有窗']","1,298"
2990,新天鵝堡三房新天鵝堡,台北市北投區崗山路,13.0年,大樓,建坪 57.95,主+陽 27,3房2廳2衛,3樓/12樓,"['有裝潢', '有陽台', '廁所開窗']","2,780"
2991,長虹天璽長虹天璽,台北市內湖區內湖路一段,4.1年,大樓,建坪 173.97,主+陽 84.38,1廳0衛,13樓/28樓,"['毛胚屋', '有景觀', '前後陽台']","16,050"
2992,大安釀後棟極美居,台北市大安區復興南路二段,0.4年,大樓/套房,建坪 23.76,主+陽 10.5,1房2廳1衛,2樓/15樓,"['有裝潢', '有陽台', '廁所開窗']","2,466"
2993,一層一戶捷運辦公,台北市中山區中山北路一段,26.5年,辦公,建坪 98.96,主+陽 76.8,4房2廳1衛,2樓/5樓,"['有裝潢', '有景觀', '房間皆有窗']","6,000"
2994,鐘鼎挑高園景店面鐘鼎山林,台北市松山區光復北路,31.4年,店面/辦公,建坪 30.34,主+陽 --,1廳1衛,1樓/13樓,"['有裝潢', '有景觀', '廁所開窗']","4,680"
2995,忠誠公園豪大1樓,台北市士林區中山北路六段,25.7年,華廈,建坪 133.7,主+陽 --,4房3廳4衛3室,B1-1樓/6樓,"['有裝潢', '前後陽台', '有陽台']","9,888"
2996,收藏長春園‧層峰,台北市中山區長春路,41.1年,華廈,建坪 193.02,主+陽 169.38,9房3廳7衛2室,6-7樓/7樓,"['有裝潢', '有景觀', '有陽台']","13,980"
2997,無相皇家景觀厝王無相,台北市士林區忠誠路一段,6.5年,華廈,建坪 124.75,主+陽 54.89,3廳0衛,9-10樓/10樓,"['毛胚屋', '有景觀', '前後陽台']","14,800"
2998,威廉王子次高樓讚威廉王子,台北市中山區八德路二段,14.8年,大樓,建坪 22.13,主+陽 7.62,1房1廳1衛1室,10樓/11樓,"['有裝潢', '有景觀', '房間皆有窗']","1,800"
2999,敦北管理明亮三房,台北市松山區民族東路,39.0年,華廈,建坪 39.04,主+陽 32.68,3房2廳1衛1室,6樓/7樓,"['有裝潢', '有景觀', '房間皆有窗']","2,680"
3000,元大之星面公園元大之星,台北市內湖區南京東路六段,8.0年,大樓,建坪 111.4,主+陽 56.61,2廳3衛,4樓/18樓,"['有景觀', '前後陽台', '有陽台']","8,800"
3001,天母公園˙大住家柏園,台北市北投區行義路,36.0年,公寓,建坪 39,主+陽 37.85,3房2廳2衛,5樓/5樓,"['有裝潢', '有景觀', '有陽台']","1,498"
3002,再興名門兩房車位氧樂多,台北市文山區興隆路三段,6.8年,華廈,建坪 42.14,主+陽 17,2房2廳2衛,1樓/7樓,"['有裝潢', '有陽台', '房間皆有窗']","1,800"
3003,中山正面公園美套,台北市中山區中山北路二段,43.7年,套房/辦公,建坪 8.77,主+陽 --,1房1衛,3樓/8樓,"['有裝潢', '有景觀', '房間皆有窗']",788
3004,稀有富貴採光高樓,台北市內湖區康樂街,0.7年,大樓,建坪 43.51,主+陽 27.85,3房2廳2衛,11樓/15樓,"['有裝潢', '有景觀', '前後陽台']","2,680"
3005,基泰方正裝潢美屋基泰之星,台北市中山區農安街,11.5年,大樓,建坪 15.15,主+陽 --,1房1廳1衛,5樓/14樓,"['有裝潢', '有陽台', '房間皆有窗']","1,180"
3006,天際邊間雙面採光,台北市文山區景興路,0.9年,大樓,建坪 22.7,主+陽 12.98,1房2廳1衛,3樓/27樓,"['有裝潢', '有景觀', '前後陽台']","1,728"
3007,試院商圈置產標的,台北市文山區試院路,16.8年,華廈,建坪 50.13,主+陽 27.92,3房4衛,3樓/5樓,"['有景觀', '房間皆有窗', '近公園']","1,898"
3008,信義松仁美景名宅巴黎世家,台北市信義區松仁路,26.1年,大樓,建坪 91.28,主+陽 47.71,4房1廳2衛,14-15樓/15樓,"['有裝潢', '有景觀', '前後陽台']","5,888"
3009,民權稀有一樓宅月光奏鳴曲,台北市內湖區民權東路六段,12.1年,店面/華廈,建坪 18.42,主+陽 8.71,2廳1衛,1樓/8樓,"['有景觀', '有陽台', '廁所開窗']","2,105"
3010,世界山莊美景大戶世界山莊,台北市文山區和平東路四段,23.6年,大樓,建坪 128.63,主+陽 86.15,5房3廳4衛2室,14-15樓/16樓,"['有裝潢', '有景觀', '前後陽台']","6,388"
3011,公園旁美景亮麗屋福崗大廈,台北市北投區溫泉路,22.2年,辦公,建坪 25.06,主+陽 13.85,2廳1衛,5樓/9樓,"['有裝潢', '有景觀', '有陽台']","1,320"
3012,中正金華邊間三房金潮大廈,台北市大安區金山南路二段,37.0年,大樓,建坪 39.74,主+陽 34.98,3房2廳2衛,2樓/12樓,"['有裝潢', '前後陽台', '有陽台']","3,928"
3013,信義敦南高樓電梯,台北市大安區信義路四段,40.1年,大樓,建坪 42.33,主+陽 40.02,2房3廳2衛,10樓/12樓,"['有景觀', '有陽台', '房間皆有窗']","4,480"
3014,加值空間大土地厝,台北市文山區仙岩路,51.3年,別墅/透天,建坪 22.43,主+陽 --,4房2廳0衛,1-3樓/3樓,"['有裝潢', '前後陽台', '有陽台']","3,680"
3015,群山環抱文匯三房靜心文匯,台北市文山區景華街,4.2年,大樓,建坪 82.34,主+陽 36.87,3房2廳2衛,15樓/17樓,"['有景觀', '前後陽台', '有陽台']","4,988"
3016,國賓晶品稀有挑高,台北市中山區中山北路二段,12.9年,辦公,建坪 9.98,主+陽 7.2,1房1廳1衛,3樓/7樓,"['有裝潢', '有陽台', '房間皆有窗']","1,188"
3017,薇閣4房電梯美廈,台北市北投區珠海路,39.0年,華廈,建坪 46.92,主+陽 38.25,4房2廳2衛1室,1樓/6樓,"['有裝潢', '有景觀', '有陽台']","2,080"
3018,大直極美高樓,台北市中山區明水路,15.1年,辦公,建坪 35.8,主+陽 20.26,1房2廳2衛,6樓/7樓,"['有裝潢', '有景觀', '警衛管理']","3,980"
3019,興安三角窗金土地,台北市中山區興安街,--,土地/店面,地坪 42.95,主+陽 --,0衛,1-2樓/2樓,"['近公園', '近市場', '近學校']","16,321"
3020,三樓邊間好規劃,台北市士林區大南路,44.5年,公寓,建坪 27.34,主+陽 27.34,3房1廳1衛,3樓/4樓,"['有裝潢', '有陽台', '廁所開窗']","1,090"
3021,皇裔鋼骨制震高樓圓山皇裔,台北市士林區承德路四段,19.4年,大樓,建坪 70.91,主+陽 45.05,3房2廳3衛,13樓/14樓,"['有裝潢', '有景觀', '前後陽台']","5,598"
3022,北醫獨戶單純三樓,台北市信義區吳興街,35.4年,公寓,建坪 26.97,主+陽 25.62,3房2廳2衛,3樓/5樓,"['有裝潢', '有陽台', '廁所開窗']","1,690"
3023,湖水裔捷運溫馨宅湖水裔,台北市內湖區文德路,10.7年,大樓,建坪 29.99,主+陽 10.94,1房1廳1衛1室,7樓/12樓,"['有裝潢', '有景觀', '有陽台']","1,650"
3024,ICOME高美富,台北市內湖區南京東路六段,12.7年,辦公,建坪 23.41,主+陽 7.78,1房1廳1衛,9樓/12樓,"['警衛管理', '具垃圾處理', '健身房']","1,050"
3025,萬隆捷運收租電梯,台北市文山區羅斯福路六段,43.2年,華廈/套房,建坪 32.74,主+陽 30.21,5房5衛,5樓/10樓,"['有裝潢', '有陽台', '房間皆有窗']","1,958"
3026,陽明帝景美居,台北市士林區菁山路,11.5年,華廈,建坪 66.23,主+陽 36.78,3房2廳2衛,4樓/5樓,"['有景觀', '前後陽台', '有陽台']","2,950"
3027,南昌大觀稀有金店中正大觀,台北市中正區南昌路一段,10.8年,店面,建坪 56.81,主+陽 --,1廳1衛,1樓/18樓,"['有裝潢', '警衛管理', '具垃圾處理']","9,888"
3028,台北企總旁,台北市內湖區南京東路六段,9.7年,廠房/其它,建坪 108.09,主+陽 51.2,1廳0衛,2樓/10樓,"['毛胚屋', '有陽台', '警衛管理']","3,980"
3029,鬧中取靜綠意美墅,台北市內湖區康寧路三段,32.2年,別墅/透天,建坪 81.2,主+陽 58.5,4房2廳4衛,B1-3樓/3樓,"['有裝潢', '前後陽台', '有陽台']","6,500"
3030,文山★公園美３房,台北市文山區中崙路,10.4年,華廈,建坪 43.02,主+陽 27.74,3房2廳2衛,5樓/7樓,"['前後陽台', '有陽台', '廁所開窗']","2,298"
3031,店長推薦景觀豪邸,台北市士林區中正路,3.5年,大樓/辦公,建坪 74.2,主+陽 38.99,3房2廳2衛1室,7樓/13樓,"['有裝潢', '有景觀', '前後陽台']","7,188"
3032,晴綻五期●愛知音,台北市內湖區南京東路六段,8.0年,大樓,建坪 191.43,主+陽 101.39,4廳4衛,2樓/18樓,"['毛胚屋', '有景觀', '前後陽台']","15,722"
3033,福港靜巷大空間,台北市士林區福港街,35.5年,公寓,建坪 32.12,主+陽 29.17,3房2廳2衛,5樓/5樓,"['有裝潢', '有景觀', '前後陽台']","1,450"
3034,推●柏悅精選美屋柏悅特區,台北市南港區忠孝東路六段,9.9年,大樓/套房,建坪 12.65,主+陽 7.47,1廳1衛,8樓/14樓,"['有裝潢', '有景觀', '廁所開窗']","1,180"
3035,水事紀綠景庭院宅水事紀,台北市文山區指南路三段,10.4年,華廈,建坪 22.94,主+陽 10.57,1廳0衛,1樓/6樓,"['毛胚屋', '警衛管理', '具垃圾處理']","1,780"
3036,優質晶華２０００,台北市中山區林森北路,34.2年,辦公/華廈,建坪 12.26,主+陽 9.13,1房1廳1衛,3樓/7樓,"['有裝潢', '警衛管理', '具垃圾處理']",720
3037,北投山色風呂華廈,台北市北投區溫泉路,19.0年,華廈,建坪 47,主+陽 24.43,2房2廳2衛,4樓/7樓,"['有裝潢', '前後陽台', '有陽台']","1,980"
3038,永康公園樹海名邸,台北市大安區永康街,10.0年,華廈,建坪 83.84,主+陽 38.57,2房2廳2衛1室,5樓/7樓,"['有裝潢', '有景觀', '前後陽台']","9,880"
3039,摩宿精美雅居摩宿,台北市中山區新生北路二段,12.2年,大樓/套房,建坪 25.73,主+陽 5.19,1廳1衛,6樓/12樓,"['有裝潢', '有景觀', '有陽台']",948
3040,敦南星鑽大戶豪邸敦南星鑽,台北市松山區光復南路,13.4年,華廈,建坪 99.9,主+陽 51.01,4房2廳3衛1室,7樓/10樓,"['有景觀', '前後陽台', '有陽台']","9,100"
3041,湖光商圈好店面宏盛2期,台北市內湖區成功路四段,25.9年,店面/辦公,建坪 36.06,主+陽 --,2房2廳2衛,1樓/13樓,"['有裝潢', '有陽台', '警衛管理']","2,988"
3042,大直捷運邊間純辦,台北市中山區敬業一路,18.6年,辦公,建坪 128.33,主+陽 --,1廳0衛6室,3樓/9樓,"['有裝潢', '警衛管理', '具垃圾處理']","9,380"
3043,北市萬華稀有店辦富都新紳,台北市萬華區桂林路,4.8年,店面/辦公,建坪 72,主+陽 --,1廳1衛,1樓/21樓,"['有裝潢', '房間皆有窗', '警衛管理']","5,998"
3044,敦北園中園有車位敦北園中園,台北市松山區北寧路,32.5年,大樓,建坪 61.41,主+陽 38.74,3房2廳2衛1室,6樓/18樓,"['有裝潢', '有陽台', '房間皆有窗']","6,600"
3045,翰林大直稀有店面翰林大直,台北市中山區北安路,27.0年,店面/辦公,建坪 18.24,主+陽 --,1廳1衛,1樓/8樓,"['警衛管理', '具垃圾處理', '花園']","2,580"
3046,威靈頓總裁別館,台北市北投區崇仰七路,53.8年,別墅/透天,建坪 90.69,主+陽 --,5房2廳4衛,1-2樓/2樓,"['有裝潢', '有景觀', '前後陽台']","26,888"
3047,天母六段一樓,台北市士林區中山北路六段,40.9年,公寓/辦公,建坪 45.36,主+陽 --,2廳0衛1室,B1-1樓/5樓,"['有裝潢', '有景觀', '有陽台']","3,780"
3048,首豪古意盎然美廈首豪,台北市北投區承德路七段,42.7年,華廈,建坪 69.31,主+陽 59.28,4房2廳2衛1室,2樓/10樓,"['有裝潢', '前後陽台', '有陽台']","3,880"
3049,正中山北路金店面,台北市中山區中山北路三段,42.9年,店面/辦公,建坪 17.81,主+陽 --,1廳0衛,1樓/14樓,"['有陽台', '警衛管理', '具垃圾處理']","3,680"
3050,民生富錦美一樓,台北市松山區富錦街,49.8年,公寓,建坪 33.35,主+陽 33.36,3房2廳2衛1室,1樓/4樓,"['有裝潢', '近公園', '近市場']","3,180"
3051,士科京璽全新裝潢士科京璽,台北市士林區重慶北路四段,3.7年,大樓,建坪 31.81,主+陽 15.69,1房1廳1衛,10樓/14樓,"['有裝潢', '有景觀', '有陽台']","2,000"
3052,文化學區單純華廈,台北市北投區杏林一路,25.9年,華廈,建坪 81.09,主+陽 48.48,4房3廳4衛,5-6樓/6樓,"['有裝潢', '有景觀', '前後陽台']","3,680"
3053,東區捷運置產小宅,台北市大安區忠孝東路四段,52.3年,套房/辦公,建坪 7.57,主+陽 6.35,1房1廳1衛,3樓/7樓,"['有裝潢', '廁所開窗', '具垃圾處理']",738
3054,新生永康庭院一樓,台北市大安區永康街,44.5年,公寓,建坪 39.06,主+陽 --,3房2廳2衛,B1-1樓/4樓,"['有裝潢', '近公園', '近捷運']","5,750"
3055,雙公園新裝潢一樓,台北市士林區中山北路七段,42.3年,公寓,建坪 42.77,主+陽 --,3房2廳1衛1室,B1-1樓/5樓,"['有裝潢', '近公園', '近市場']","2,880"
3056,大亨庭院花園一樓台北大亨,台北市文山區興隆路四段,28.4年,華廈,建坪 88.93,主+陽 --,4房3廳3衛,B1-1樓/10樓,"['有裝潢', '前後陽台', '有陽台']","5,980"
3057,晴光旁~香格里拉香格里拉,台北市中山區農安街,36.8年,華廈/套房,建坪 10.6,主+陽 7.78,1房1廳1衛,4樓/9樓,"['有裝潢', '警衛管理', '具垃圾處理']",738
3058,迎風賞稀有兩房,台北市文山區興隆路二段,11.1年,華廈,建坪 37.72,主+陽 22.96,2房2廳2衛1室,8樓/9樓,"['有景觀', '有陽台', '廁所開窗']","2,280"
3059,公舘路稀有透天,台北市北投區公館路,48.1年,別墅/透天,建坪 23.16,主+陽 --,3房2廳2衛,1-2樓/2樓,"['有裝潢', '前後陽台', '有陽台']","3,360"
3060,吉美悅河高樓美屋吉美悅河,台北市士林區重慶北路四段,7.4年,大樓,建坪 94.98,主+陽 46.56,4房2廳2衛,15樓/15樓,"['有裝潢', '有景觀', '有陽台']","5,680"
3061,北門電梯一房二廳,台北市大同區延平北路二段,43.2年,大樓,建坪 14.17,主+陽 --,1房2廳1衛,10樓/11樓,"['有裝潢', '有景觀', '房間皆有窗']",968
3062,民生川普傳世豪邸川普,台北市中山區民生東路三段,13.4年,大樓,建坪 103.64,主+陽 53.56,4房2廳3衛,2樓/14樓,"['有裝潢', '警衛管理', '具垃圾處理']","9,000"
3063,A瑞安優質店辦,台北市大安區瑞安街,33.7年,店面/華廈,建坪 100.89,主+陽 --,3房2廳2衛,1樓/6樓,"['毛胚屋', '前後陽台', '有陽台']","6,900"
3064,善導寺站置產金店,台北市中正區忠孝東路一段,0.4年,店面/辦公,建坪 48.06,主+陽 29.11,2房2廳2衛,1-2樓/8樓,"['三角窗', '毛胚屋', '有景觀']","7,880"
3065,行政明亮低總好屋,台北市內湖區成功路二段,40.2年,公寓,建坪 28.82,主+陽 28.82,3房2廳1衛,5樓/5樓,"['有裝潢', '有景觀', '前後陽台']","1,380"
3066,市府鋼骨美景純辦,台北市信義區松隆路,29.1年,辦公,建坪 178.11,主+陽 82.85,1廳0衛15室,17樓/19樓,"['有景觀', '警衛管理', '近公園']","11,594"
3067,世界山莊庭院３房世界山莊,台北市文山區和平東路四段,23.6年,大樓,建坪 63.43,主+陽 43.35,3房2廳2衛,1樓/16樓,"['有裝潢', '廁所開窗', '警衛管理']","3,650"
3068,芝玉ＨＥＡＲＴ,台北市士林區芝玉路一段,34.8年,公寓,建坪 33.96,主+陽 32.82,3房2廳2衛,2樓/5樓,"['前後陽台', '有陽台', '近公園']","2,388"
3069,捷運布拉格安家賞捷運布拉格,台北市北投區大度路三段,12.2年,大樓,建坪 37.87,主+陽 16.8,2房2廳1衛,11樓/14樓,"['有裝潢', '有景觀', '前後陽台']","1,620"
3070,☆★美麗桂林★☆冠德美麗桂林,台北市萬華區桂林路,10.9年,大樓,建坪 62.82,主+陽 32.41,3房2廳2衛1室,9樓/19樓,"['有裝潢', '有景觀', '有陽台']","3,380"
3071,安和路三角窗金店中榮大樓,台北市大安區安和路二段,41.3年,店面,建坪 192.57,主+陽 --,2廳2衛,B1-1樓/19樓,"['三角窗', '有裝潢', '警衛管理']","39,800"
3072,大安森林四面採光,台北市大安區新生南路一段,38.3年,公寓,建坪 49.98,主+陽 44.83,4房2廳2衛,4樓/5樓,"['有裝潢', '近公園', '近捷運']","3,980"
3073,近捷運小資美廈,台北市中山區遼寧街,5.9年,華廈,建坪 20.42,主+陽 9.01,1房1廳1衛,4樓/6樓,"['有裝潢', '有陽台', '廁所開窗']","1,880"
3074,【稀有】仁愛大戶,台北市大安區仁愛路四段,39.0年,華廈,建坪 64.02,主+陽 57.83,4房2廳2衛1室,3樓/7樓,"['有裝潢', '前後陽台', '有陽台']","5,480"
3075,梵帝崗優質大三房梵帝崗,台北市中山區新生北路二段,11.3年,大樓,建坪 76.38,主+陽 55.02,3房2廳2衛2室,2樓/19樓,"['有裝潢', '有陽台', '廁所開窗']","7,688"
3076,松德路大空間一樓,台北市信義區松德路,42.4年,公寓/店面,建坪 53.24,主+陽 --,7房2廳1衛,B1-1樓/5樓,"['有裝潢', '前後陽台', '有陽台']","2,900"
3077,雙敦設籍挑高套房,台北市松山區敦化北路,4.9年,華廈,建坪 9.23,主+陽 4.19,1廳1衛,4樓/6樓,"['有裝潢', '有陽台', '廁所開窗']","1,180"
3078,奇岩景觀賞星月,台北市北投區公館路,6.0年,華廈,建坪 46.11,主+陽 25.93,3房2廳2衛,5樓/5樓,"['有裝潢', '有景觀', '有陽台']","2,960"
3079,推】新東方樓中樓捷年新東方,台北市內湖區行善路,11.0年,大樓,建坪 124.97,主+陽 50.68,4房2廳3衛1室,12樓/12樓,"['有裝潢', '有景觀', '前後陽台']","8,380"
3080,西門商四店面透天,台北市萬華區中華路一段,57.1年,店面/別墅/透天,建坪 34.71,主+陽 --,1房3廳2衛,1-3樓/3樓,"['前後陽台', '有陽台', '廁所開窗']","6,900"
3081,用心整理的家,台北市南港區忠孝東路六段,35.6年,公寓/套房,建坪 43.31,主+陽 40.1,6房1廳3.5衛,5樓/5樓,"['有裝潢', '有陽台', '近公園']","2,288"
3082,復興南豪氣店辦伯爵大廈,台北市大安區復興南路一段,45.1年,店面/辦公,建坪 85.19,主+陽 72,1廳0衛,2樓/12樓,"['毛胚屋', '廁所開窗', '房間皆有窗']","9,767"
3083,中山特區增值透天,台北市中山區中山北路二段,85.5年,店面,建坪 5.9,主+陽 --,1廳1衛,1-1樓/1樓,"['有裝潢', '廁所開窗', '房間皆有窗']","4,100"
3084,華山藝文釉裡紅,台北市中山區長安東路一段,7.0年,大樓,建坪 85.86,主+陽 45.14,2房3廳3衛,4樓/11樓,"['有裝潢', '有景觀', '前後陽台']","7,700"
3085,至善財旺福祿豪邸至善天下,台北市士林區至善路二段,24.5年,大樓,建坪 244.29,主+陽 133.42,7房2廳5衛4室,2樓/16樓,"['有裝潢', '有景觀', '前後陽台']","16,800"
3086,☆睿泰川矅露臺戶,台北市中正區詔安街,預售,大樓,建坪 16.2,主+附 --,1房1廳1衛,2樓/11樓,"['廁所開窗', '警衛管理', '近公園']","1,458"
3087,低總價★捷運美屋,台北市中正區臨沂街,17.0年,華廈,建坪 9.87,主+陽 6.62,1廳1衛,5樓/5樓,"['有裝潢', '有景觀', '房間皆有窗']","1,388"
3088,山丘小墅極美裝潢,台北市內湖區環山路二段,2.2年,華廈,建坪 53.28,主+陽 29.07,2房2廳2衛,4樓/5樓,"['有裝潢', '有景觀', '有陽台']","4,280"
3089,精選美妝成家首選,台北市中山區林森北路,6.3年,華廈,建坪 24.35,主+陽 9.86,1房1廳1衛,5樓/8樓,"['有裝潢', '有陽台', '警衛管理']","1,720"
3090,菁典,台北市中山區敬業一路,12.3年,辦公,建坪 14.19,主+陽 8.68,1房1廳1衛,3樓/7樓,"['廁所開窗', '警衛管理', '具垃圾處理']","1,200"
3091,民族二樓免爬高,台北市中山區民族東路,39.9年,公寓,建坪 33.18,主+陽 33.18,3房2廳2衛,2樓/4樓,"['有裝潢', '近公園', '近市場']","2,288"
3092,『獨家』成家兩房,台北市南港區研究院路二段,45.4年,公寓,建坪 26.04,主+陽 26.03,2房2廳1衛,4樓/4樓,"['有裝潢', '有景觀', '有陽台']","1,220"
3093,寶舖212A戶樹,台北市中正區羅斯福路三段,預售,大樓,建坪 40.48,主+附 18.76,2房2廳2衛,5樓/14樓,"['有景觀', '前後陽台', '有陽台']","3,998"
3094,泉州街土地,台北市中正區泉州街,--,土地,地坪 42.65,主+陽 --,0衛,0樓/0樓,[],"8,500"
3095,國館巨蛋花園美廈,台北市信義區逸仙路,39.3年,華廈,建坪 47.87,主+陽 40.85,2房2廳2衛,7樓/7樓,"['有陽台', '房間皆有窗', '警衛管理']","5,350"
3096,仁愛學區裝潢２房,台北市大安區信義路四段,42.7年,華廈,建坪 29.16,主+陽 24.97,2房2廳2衛2室,6樓/7樓,"['有裝潢', '有陽台', '店長推薦']","2,880"
3097,金龍路９５號店面,台北市內湖區金龍路,41.5年,店面/公寓,建坪 21.7,主+陽 --,1廳0衛1室,1樓/5樓,"['有裝潢', '廁所開窗', '近公園']","3,200"
3098,大安惹墨稀有釋出大安惹墨,台北市大安區四維路,7.9年,大樓,建坪 56.6,主+陽 35.66,1廳0衛,7樓/13樓,"['毛胚屋', '前後陽台', '有陽台']","7,880"
3099,仁愛椰林親子豪邸禮藏,台北市中正區仁愛路二段,13.0年,大樓,建坪 147.97,主+陽 77.08,5房2廳4衛,15樓/15樓,"['有裝潢', '有景觀', '有陽台']","16,120"
3100,樸山水澗天地湖景樸山水澗,台北市內湖區內湖路二段,5.1年,大樓,建坪 97.94,主+陽 52.26,4房2廳2衛,15樓/15樓,"['有裝潢', '有景觀', '前後陽台']","12,688"
3101,美麗煙波庭臨公園煙波庭社區-別墅,台北市內湖區大湖街,33.5年,別墅/透天,建坪 95.6,主+陽 63.23,5房2廳3.5衛2室,B1-3樓/3樓,"['有景觀', '前後陽台', '有陽台']","6,488"
3102,捷運邊間黃金店面,台北市中山區錦州街,47.7年,店面,建坪 27.52,主+陽 --,1房2廳1衛,1樓/4樓,"['有裝潢', '廁所開窗', '房間皆有窗']","4,800"
3103,碧湖新光濱湖園,台北市內湖區內湖路二段,35.0年,華廈,建坪 80.08,主+陽 53.68,4房2廳2衛,1-2樓/7樓,"['有裝潢', '有景觀', '前後陽台']","4,580"
3104,晶華寬敞採光住辦,台北市中山區中山北路二段,19.9年,辦公/華廈,建坪 39.06,主+陽 24.85,3廳1衛,3樓/10樓,"['有裝潢', '廁所開窗', '房間皆有窗']","3,000"
3105,內湖辦公首選,台北市內湖區內湖路一段,15.8年,辦公,建坪 100.65,主+陽 --,1房1廳0衛,5樓/10樓,"['有裝潢', '有景觀', '警衛管理']","4,850"
3106,七段電梯三面採光,台北市士林區中山北路七段,41.7年,華廈,建坪 60.08,主+陽 40.43,2房2廳2衛,7樓/7樓,"['有裝潢', '有景觀', '有陽台']","3,450"
3107,樹景方正氣質雅居,台北市松山區南京東路五段,46.9年,公寓,建坪 40.08,主+陽 40.08,3房2廳2衛,5樓/5樓,"['有裝潢', '有景觀', '前後陽台']","2,580"
3108,朝南寬巷舒適美居,台北市大同區哈密街,35.1年,公寓,建坪 26.59,主+陽 23.47,4房4衛,3樓/5樓,"['有裝潢', '有陽台', '廁所開窗']","1,708"
3109,忠泰美麗進行曲,台北市中山區樂群三路,11.1年,華廈,建坪 38.7,主+陽 21.72,3房2廳2衛1室,7樓/10樓,"['有裝潢', '有景觀', '有陽台']","3,535"
3110,萬華小透天,台北市萬華區莒光路,96.5年,別墅/透天,建坪 10.54,主+陽 --,0衛,1-1樓/1樓,"['廁所開窗', '房間皆有窗', '近公園']","2,180"
3111,寬廣綠景麗湖山莊金湖麗湖山莊,台北市內湖區金湖路,14.7年,華廈,建坪 83.23,主+陽 35.25,4房2廳3衛2室,5樓/5樓,"['有裝潢', '有景觀', '有陽台']","6,288"
